_id	GROUP_NAME	PRACTICE_ADDR_1	PRACTICE_ADDR_2	PRACTICE_CITY	PRACTICE_STATE	PRACTICE_ZIP	Latitude	Longitude
204	Alliance Cardiology UPMC	21 Yost Boulevard	Suite 216	Pittsburgh	PA	15221	40.413984	-79.847126
205	Adler and Krause Card Med Assoc	21 Yost at Ardmore Boulevard	Suite 217	Pittsburgh	PA	15221	40.413984	-79.847126
206	McCollum Corporation	2100 Jane Street		Pittsburgh	PA	15203	40.42648	-79.976796
207	Chengappa, Palecanda P MD	2100 Jane Street South	Suite 110	Pittsburgh	PA	15203	40.42648	-79.976796
208	Ahmed, Adiba S MD	2101 Greentree Road	Suite A103	Pittsburgh	PA	15220	40.390563	-80.072422
209	Hodges, Allen R, MD	211 North Whitfield Street		Pittsburgh	PA	15206	40.463133	-79.925317
210	Iannuzzi, C C MD PC	2115 Noble Street	Swissvale Avenue	Pittsburgh	PA	15218	40.431319	-79.88688
211	Premier Medical  Associates Family  Practice	2140 Ardmore Boulevard	Suite 100	Pittsburgh	PA	15221	40.418277	-79.84942
212	Daniel Steiner MD UPMC	215 Allegheny Avenue	Suite 200	Oakmont	PA	15139	40.514488	-79.844005
213	Prime Care Int Medc Assoc PC	220 East Eighth Avenue		Homestead	PA	15120	40.407209	-79.909937
214	Emmanuel Family Practice Associates	2204 06 Murray Avenue		Pittsburgh	PA	15217	40.432195	-79.923321
215	Fletcher, Douglas D MD	221 Penn Avenue	Suite 1700	Pittsburgh	PA	15221	40.446188	-79.892247
216	SMA DeerLakes PC	221 Russelton Dorseyville Road		Cheswick	PA	15024	40.60392	-79.86095
217	SMA DeerLakes PC	222 Allegheny River Boulevard		Oakmont	PA	15139	40.514735	-79.843097
218	Brandy, Dominic A MD	2275 Swallow Hill Rd	Building 2400	Pittsburgh	PA	15220	40.389166	-80.072547
219	Scott Medical Health Center MD Group	2275 Swallow Hill Road	Building 2600	Pittsburgh	PA	15220	40.389166	-80.072547
220	University Emergency Physicians Inc	230 McKee Place	Suite 400	Pittsburgh	PA	15213	40.439029	-79.959155
221	Rehabilitation Medicine	2300 Jane Street		Pittsburgh	PA	15203	40.425724	-79.972597
222	UPMC Emergency Medicine Inc	2300 McKee Place	Suite 400	Pittsburgh	PA	15213	40.440361	-79.960201
223	Rehabilitation Medicine	2310 Jane Street		Pittsburgh	PA	15203	40.42646	-79.972555
224	UPMC McKeesport Latterman Fam Hlth Ctr	2347 5th Avenue		McKeesport	PA	15132	40.354556	-79.837219
225	Vitas Solutions Inc	235 Alpha Drive	Suite 101	Pittsburgh	PA	15238	40.491877	-79.872062
226	Preferred Primary Care Physicians	2375 Greentree Road		Carnegie	PA	15106	40.389714	-80.080622
227	UPMC Family Medicine South	2397 Mountain View Drive		West Mifflin	PA	15122	40.344616	-79.945876
228	Pediatrics South Inc	240 Mount Lebanon Boulevard		Pittsburgh	PA	15234	40.367907	-80.037588
229	Arnold Family Practice	2400 Ardmore Boulevard	Suite 301	Pittsburgh	PA	15221	40.415079	-79.847561
230	Franklin Park Family Practice UPMC	2400 Corporate Drive	Suite 100	Wexford	PA	15090	40.610267	-80.087627
231	Zelonis, Thomas, G., DO	2403 S Park Rd		Bethel Park	PA	15102	40.329654	-80.022528
232	Zelonis,  Lawrence J, DO	2403 South Park Road		Bethel Park	PA	15102	40.329654	-80.022528
233	Ladani Medical Associates LLC	2409 Brownsville Road		Mount Oliver	PA	15210	40.387164	-79.982739
234	Prime Care Medical Associates UPMC	241-251 Freeport Road	Suite 3	Pittsburgh	PA	15215	40.489803	-79.903786
235	Family Practice Medical Associates South	2414 Lytle Road	Suite 300	Bethel Park	PA	15102	40.334084	-80.025248
236	Mercy Behavioral Health	249 South 9th Street		Pittsburgh	PA	15203	40.430322	-79.989072
237	Pittsburgh Cardiovascular Institute	2490 Mosside Boulevard		Monroeville	PA	15146	40.424318	-79.754117
238	UPMC Emergency Medicine Inc	25 Heckel Road		Mc Kees Rocks	PA	15136	40.472755	-80.090742
239	Ohio Valley Professional Services	25 Heckle Road		Mc Kees Rocks	PA	15136	40.472755	-80.090742
240	Dobkin and Riccelli Associates	250 Mount Lebanon Boulevard	Suite 306	Pittsburgh	PA	15234	40.36799	-80.036804
241	Behm Family Practice UPMC	2500 Brooktree Road	Suite 200	Wexford	PA	15090	40.615332	-80.057881
242	Banksville Medical P C	2508 Banksville Avenue		Pittsburgh	PA	15216	40.407089	-80.034973
243	Teladoc Physicians PA	252 Arden Road		Pittsburgh	PA	15216	40.391118	-80.049063
244	Penn Pediatrics LLC	2550 Mosside Blvd	Suite 111	Monroeville	PA	15146	40.427018	-79.752606
245	Allegheny Center For Digestive Health	2550 Mosside Boulevard	5th Floor	Monroeville	PA	15146	40.427018	-79.752606
246	East Suburban Ped Assoc LTD	2566 Haymaker Road	Suite 106	Monroeville	PA	15146	40.42797	-79.748282
247	Emergency Medicine Physicians of Allegheny	2570 Haymaker Road		Monroeville	PA	15146	40.428975	-79.748091
248	Hematology Oncology Association	2571 Mosside Boulevard	Suite 3	Monroeville	PA	15146	40.428315	-79.752766
249	Allegheny Orthopaedic Associates	2580 Haymaker Road	Suite 104	Monroeville	PA	15146	40.427892	-79.748081
250	Russellton Medical Group UPMC	2585 Freeport Road	Suite 201	Pittsburgh	PA	15238	40.536499	-79.843125
251	Moretti, James M MD	2589 Washington Road	Suite 423	Pittsburgh	PA	15241	40.314155	-80.089085
252	Univ Endocrinology Svc	259 Mount Nebo Pointe Drive		Pittsburgh	PA	15237	40.534891	-80.068198
253	UPMC Squirrel Hill	259 Mt Nebo Pointe Drive	Unit E 18	Pittsburgh	PA	15237	40.534891	-80.068198
254	Heritage Valley Associates in Family Medicine	2591 Wexford-Bayne Road	206	Sewickley	PA	15143	40.612924	-80.102696
255	Kross, Timothy MD	2593 Wexford Bayne Road	Suite 208	Sewickley	PA	15143	40.613324	-80.102034
256	Univ Ear Nose Throat Specialists	2599 Wexford Bayne Road		Sewickley	PA	15143	40.614271	-80.100843
257	MedExpress Urgent Care PC Pennsylvania	2600 Old Washington Road	Suite 150	Upper Saint Clair	PA	15241	40.312611	-80.089602
258	Barnett, Alan J, MD	2627 Murray Avenue		Pittsburgh	PA	15217	40.429072	-79.923857
259	Scott Medical Health Center MD Group	2630 Brandt School Road		Wexford	PA	15090	40.615584	-80.092988
260	MedExpress Urgent Care PC Pennsylvania	2644 Mosside Boulevard	Suite 110	Monroeville	PA	15146	40.431835	-79.750547
261	Partners in Nephrology and Endocrinology	2690 Monroeville Boulevard		Monroeville	PA	15146	40.435479	-79.780701
262	Ladani Medical Associates LLC	27 Heckel Road	Suite 101	Mc Kees Rocks	PA	15136	40.472389	-80.091189
263	Waligura, R Curtis DO	2709 ONeil Boulevard		McKeesport	PA	15132	40.353269	-79.825433
264	Chen, Anne, MD	2715 Brownsville Road		Pittsburgh	PA	15227	40.38405	-79.977365
265	UPP General Internal Medicine	2775 Mosside Boulevard		Monroeville	PA	15146	40.436561	-79.760197
266	CCP Monroeville	2790 Mosside Boulevard	Suite 700	Monroeville	PA	15146	40.437541	-79.75748
267	Minute Clinic Diagnostic of PA LLC	2860 Wildwood Road Extension		Allison Park	PA	15101	40.58983	-79.946824
268	Pittsburgh Medical Associates PC	2891 Banksville Road		Pittsburgh	PA	15216	40.40323	-80.040077
269	Shabbir Lakdawala MD PC	2912 Glenmore Avenue		Pittsburgh	PA	15216	40.39565	-80.03522
270	Lindenbaum Perryman and Assocs UPMC	2920 West Liberty Avenue		Pittsburgh	PA	15216	40.394808	-80.03498
271	Circulatory Center of PA Inc	3 PPG Place	Suite 550	Pittsburgh	PA	15222	40.4401	-80.002703
272	Iyer, Vish MD PC	30 High Street		Pittsburgh	PA	15223	40.497758	-79.945666
273	Mt Lebanon Internal Medicine Division	300 Cedar Blvd		Pittsburgh	PA	15228	40.380283	-80.052889
274	Caring Hands Pediatrics PC	300 Cedar Ridge Drive	Suite 309	Pittsburgh	PA	15205	40.447419	-80.107761
275	Circulatory Center of PA Inc	300 Chapel Harbor Drive	Suite 102	Pittsburgh	PA	15238	40.485566	-79.882392
276	PPCP Fleet Street	300 Fleet St	Ste 100	Pittsburgh	PA	15220	40.421105	-80.0483
277	Bell Froman Orsini and Assoc	300 Fleet Street	Suite 100	Pittsburgh	PA	15220	40.421105	-80.0483
278	University Gastroenterology	300 Halket Street		Pittsburgh	PA	15213	40.436889	-79.9607
279	HVMG West Allegheny Healthcare Svcs	300 Penn Lincoln Drive		Imperial	PA	15126	40.442187	-80.236293
280	Primary Care Health Services Group Practice	300 Rankin Boulevard		Rankin	PA	15104	40.41199	-79.881091
281	Elizabeth Township Family Medicine UPMC	300 Scenery Drive		Elizabeth	PA	15037	40.279434	-79.837007
282	Gursky, Andrew E MD	300 Weyman Plaza	Suite 460	Pittsburgh	PA	15236	40.36044	-79.999838
283	Adams, Rocco J., MD	3000 Brownsville Rd		Pittsburgh	PA	15227	40.381078	-79.976429
284	Lindenbaum Perryman and Assocs UPMC	3000 Brownsville Road		Brentwood	PA	15227	40.381078	-79.976429
285	UPP Department of Surgery	3000 Stonewood Drive	Suite 200	Wexford	PA	15090	40.642253	-80.064689
286	Kupfer, Samuel MD	3001 Jacks Run Road	Suite 203	White Oak	PA	15131	40.344759	-79.798548
287	Bonacorsi Brown and Johnson Primary Care	3005 Banksville Road		Pittsburgh	PA	15216	40.401691	-80.041819
288	Allegheny Center For Digestive Health	301 First Avenue		Tarentum	PA	15084	40.600195	-79.752558
289	Heritage Valley Pediatrics Inc	301 Ohio River Boulevard	Suite 200	Sewickley	PA	15143	40.545894	-80.194586
290	Health Center Ophthalmology Inc	3021 Jacks Run Road		White Oak	PA	15131	40.34489	-79.797421
291	MedExpress Urgent Care PC Pennsylvania	3024 Washington Pike		Bridgeville	PA	15017	40.353281	-80.115383
292	MedExpress Urgent Care PC Pennsylvania	303 East Tenth Avenue		Tarentum	PA	15084	40.605459	-79.756208
293	Partners in Nephrology and Endocrinology	3063 Freeport Road		Natrona Heights	PA	15065	40.644151	-79.710483
294	Pittsburgh Internal Med Assoc UPMC	3089 Sussex Avenue		Pittsburgh	PA	15226	40.383771	-80.014178
295	Smithfield Medical	309 Smithfield Street	Suite 200	Pittsburgh	PA	15222	40.438508	-79.999956
296	University Geriatric Medicine Service	310 Fisk Street		Pittsburgh	PA	15201	40.465817	-79.958025
297	University Emergency Physicians Inc	311 South Craig Street	Suite 300	Pittsburgh	PA	15213	40.445452	-79.948526
298	Mercy Behavioral Health	315 South 9th Street		Pittsburgh	PA	15203	40.430416	-79.989063
299	Freedom Healthcare Services LLC	316 Station Street	Suite 100	Bridgeville	PA	15017	40.358595	-80.113676
300	Hilltop Community Healthcare Center PCP	317 Climax Street		Pittsburgh	PA	15210	40.420111	-80.001958
301	Alle Kiski Medical Associates	317 First Avenue		Tarentum	PA	15084	40.600488	-79.751856
302	McGinnis Thoracic and Cardiovascular Associates	320 East North Avenue		Pittsburgh	PA	15212	40.45701	-80.003724
303	Allegheny Hospital Medicine Specialists	320 East North Street	2nd Floor	Pittsburgh	PA	15212	40.45701	-80.003724
304	AGH Internal Medicine	320 Guys Run Road		Pittsburgh	PA	15238	40.536213	-79.849228
305	University of Pittsburgh Physicians	3200 South Water Street		Pittsburgh	PA	15203	40.424676	-79.959603
306	University Cardiology Service	3212 Main Street		Munhall	PA	15120	40.387507	-79.902632
307	Health Associates of Western Pennsylvania PC	324 Rodi Road		Pittsburgh	PA	15235	40.460033	-79.823973
308	Rudolph, Joseph P MD	330 Curry Hollow Rd		Pittsburgh	PA	15236	40.337521	-79.976872
309	Avenue to Wellness LLC	330 East Eighth Avenue		Homestead	PA	15120	40.408316	-79.907921
310	Mercy Behavioral Health	330 South 9th Street		Pittsburgh	PA	15203	40.430273	-79.9904
311	The Primary Care Place	333 Allegheny Avenue	Suite 1E	Oakmont	PA	15139	40.515893	-79.843837
312	Choi, Sean H MD	333 Lincoln Hwy		East Mc Keesport	PA	15035	40.38066	-79.810557
313	University of Pittsburgh Physicians	333 North Braddock Avenue		Pittsburgh	PA	15208	40.449748	-79.893734
314	UPP Department of Surgery	3380 Boulevard of the Allies	Suite 158	Pittsburgh	PA	15213	40.435254	-79.958319
315	Univ Rheumatology Svc	339 6th Avenue	4th Floor	Pittsburgh	PA	15222	40.441941	-80.001793
316	Margolis Rheumatology UPMC	339 Sixth Ave	4th Floor	Pittsburgh	PA	15222	40.442001	-79.998223
317	UPMC Downtown	339 Sixth Avenue	5th Floor	Pittsburgh	PA	15222	40.442001	-79.998223
318	Pediatric Alliance Fox Chapel Division	3394 Saxonburg Boulevard	Suite 600	Glenshaw	PA	15116	40.548897	-79.914056
319	Hussaini Medical Associates	340 Lincoln Avenue		Bellevue	PA	15202	40.493897	-80.051611
320	Preferred Primary Care Physicians	3400 South Park Road		Bethel Park	PA	15102	40.321783	-80.057607
321	Univ Nephrology Service	3420 Fifth Avenue		Pittsburgh	PA	15213	40.439501	-79.961089
322	Health Center Associates UPMC	3424 William Penn Highway	Ste 215 Penn Ctr Bldg 2	Pittsburgh	PA	15235	40.443074	-79.232696
323	MedExpress Urgent Care PC Pennsylvania	3433 William Penn Highway		Pittsburgh	PA	15235	40.429344	-79.812791
324	Suburban East Medical Center UPMC	3436 William Penn Highway	Bldg 2  Suite 166	Pittsburgh	PA	15235	40.429028	-79.812828
325	UPP General Internal Medicine	3459 5th Avenue		Pittsburgh	PA	15213	40.440867	-79.96177
326	Univ Oncology Service	3459 Fifth Avenue		Pittsburgh	PA	15210	40.440867	-79.96177
327	University of Pittsburgh Physicians	3459 Fifth Avenue North	Suite 756 MUH	Pittsburgh	PA	15213	40.437926	-79.955642
328	University of Pittsburgh Physicians	3471 5th Avenue	Suite 1010	Pittsburgh	PA	15213	40.440496	-79.960664
329	UPMC Shadyside Family Health Centers Inc	3471 Fifth Avenue		Pittsburgh	PA	15213	40.440496	-79.960664
330	Arthritis & Internal Medicine Associates UPMC	3500 Fifth Avenue	4th Floor	Pittsburgh	PA	15213	40.440371	-79.959841
331	University of Pittsburgh Physicians	3501 Forbes Avenue		Pittsburgh	PA	15213	40.440144	-79.959488
332	Univ Nephrology Service	3504 Fifth Avenue	Suite 200	Pittsburgh	PA	15213	40.440477	-79.959723
333	Univ Endocrinology Svc	3512 Fifth Avenue		Pittsburgh	PA	15213	40.44071	-79.9594
334	MedExpress Urgent Care PC Pennsylvania	3516 Saw Mill Run Boulevard		Pittsburgh	PA	15227	40.372678	-79.982319
335	University of Pittsburgh Physicians	3520 Fifth Avenue		Pittsburgh	PA	15213	40.440916	-79.959103
336	Univ Infectious Disease Svc	3549 Fifth Avenue 19th South		Pittsburgh	PA	15213	40.437926	-79.955642
337	Addiction and Recovery Health Services	355 5th Avenue	Suite 1120	Pittsburgh	PA	15222	40.440398	-79.998778
338	UPP Department of Surgery	3550 Terrace Avenue	Suite A1222	Pittsburgh	PA	15261	40.442513	-79.961826
339	UPP Department of Surgery	3550 Terrace Street		Pittsburgh	PA	15261	40.442513	-79.961826
340	UPP Department of Surgery	3550 Terrance Street	Suite 6 B	Pittsburgh	PA	15261	40.442513	-79.961826
341	UPP Department of Surgery	3600 Forbes Avenue	9th  Floor	Pittsburgh	PA	15213	40.440557	-79.958052
342	UPP General Internal Medicine	3601 5th Avenue		Pittsburgh	PA	15213	40.441544	-79.959356
343	UPP Department of Surgery	3601 Fifith Avenue	Suite 6B	Pittsburgh	PA	15213	40.441544	-79.959356
344	Univ Endocrinology Svc	3601 Fifth Avenue		Pittsburgh	PA	15213	40.441544	-79.959356
345	UPP Department of Surgery	3601 Fifth Avenue  6th Floor	Suite 6B	Pittsburgh	PA	15213	40.441544	-79.959356
346	UPP Department of Surgery	3601 Fifth Avenue 4th Floor		Pittsburgh	PA	15213	40.441544	-79.959356
347	GMA Singh Medical Associates	3601 McKnight East Drive		Pittsburgh	PA	15237	40.537532	-80.00636
348	Comprehensive Care Associates UPMC	362 Lincoln Avenue		Bellevue	PA	15202	40.494029	-80.052422
349	Bower Hill Pediatrics	363 Vanadium Road	Suite 104	Pittsburgh	PA	15243	40.36961	-80.084856
350	Univ Oncology Service	3636 Boulevard of The Allies		Pittsburgh	PA	15213	40.434228	-79.953461
351	UPP Ped Adolescent Medcn	3705 Fifth Ave	Room G451	Pittsburgh	PA	15213	40.441612	-79.958928
352	University of Pittsburgh Physicians	3705 Fifth Avenue		Pittsburgh	PA	15213	40.441612	-79.958928
353	University of Pittsburgh Physicians	3708 Fifth Avenue	Suite 401	Pittsburgh	PA	15213	40.441691	-79.957888
354	Brentwood Medical Group Inc	3720 Brownsville Road		Pittsburgh	PA	15227	40.372172	-79.97564
355	University of Pittsburgh Physicians	373 Burrows Street		Pittsburgh	PA	15213	40.44206	-79.970401
356	Pittsburgh Internal Med Assoc UPMC	3754 Libarary Road	Suite 100	Pittsburgh	PA	15234	40.364907	-80.021978
357	University of Pittsburgh Physicians	3811 OHara Street		Pittsburgh	PA	15213	40.443772	-79.960002
358	Premier Med Assoc Int Medicine	3824 Northern Pike	Suite 200	Monroeville	PA	15146	40.437512	-79.780996
359	Minute Clinic Diagnostic of PA LLC	3893 William Pen Highway		Glenshaw	PA	15116	40.532508	-79.968039
360	SMA Jerome Scherer DO	391 Washington Avenue		Oakmont	PA	15139	40.516364	-79.841002
361	Fort Pitt Senior Health Care Associates	393 Vanadium Road		Pittsburgh	PA	15243	40.369047	-80.084473
362	University Critical Care	3937 Butler Street		Pittsburgh	PA	15201	40.468901	-79.963457
363	Mickiewicz Marcinkowska, Ewa MD	4 Allegheny Center		Pittsburgh	PA	15212	40.453053	-80.004149
364	University of Pittsburgh Physicians	400 Holland Avenue		Braddock	PA	15104	40.405049	-79.870219
365	University Cardiology Service	400 Oxford Drive		Monroeville	PA	15146	40.430525	-79.7876
366	Price, Tamara L MD	400 Rouser Road	Suite 102 Bldg 2	Moon Township	PA	15108	40.516977	-80.221348
367	Lindenbaum Perryman and Assocs UPMC	404 Bigham Street		Pittsburgh	PA	15211	40.431772	-80.015561
368	Primary Care Health Services Group Practice	404 N Braddock Avenue		Braddock	PA	15104	40.404703	-79.871414
369	Univ Ear Nose Throat Specialists	4055 Monroeville Boulevard		Monroeville	PA	15146	40.436359	-79.768611
370	Lamperski Internal Medicine  LLC	4068 Mount Royal Boulevard	Suite 101	Allison Park	PA	15101	40.565194	-79.963852
371	Kids Plus Pediatrics PC	4070 Beechwood Boulevard		Pittsburgh	PA	15217	40.427302	-79.93828
372	CCP Monroeville Pediatric Assocs	4075 Monroeville Blvd	Suite 125	Monroeville	PA	15146	40.436255	-79.767946
373	University of Pittsburgh Physicians	4075 Monroeville Boulevard	Suite 106	Monroeville	PA	15146	40.436255	-79.767946
374	UPMC Keystone Primary Care Dr Paul	4099 William Penn Highway	Suite 705	Monroeville	PA	15146	40.439031	-79.769865
375	Circulatory Center of PA Inc	410 Rouser Road		Coraopolis	PA	15108	40.518401	-80.166725
376	University of Pittsburgh Physicians	4117 Liberty Avenue		Pittsburgh	PA	15224	40.46368	-79.953771
377	University of Pittsburgh Physicians	4117 Penn Avenue		Pittsburgh	PA	15224	40.465912	-79.954695
378	Mercy Behavioral Health	412 East Commons		Pittsburgh	PA	15212	40.45124	-80.002317
379	UPMC Urgent Care at Monroeville	4145 William Penn Highway		Monroeville	PA	15146	40.439416	-79.765929
380	Sivakumar, Usha MD LLC	415 East 4th Avenue	Suite 3	Tarentum	PA	15084	40.602777	-79.751532
381	Primary Care Health Services Group Practice	415 Neptune Street		Pittsburgh	PA	15220	40.440483	-80.032969
382	Craig B Liden Associates	4156 Kenneth Drive		Gibsonia	PA	15044	40.624383	-79.943583
383	Medical Center Clinic	4185 Friendship Avenue	Suite 340	Pittsburgh	PA	15224	40.46587	-79.952163
384	Forest Hills Medical Associates UPMC	419 Westinghouse Avenue		Wilmerding	PA	15148	40.390042	-79.810108
385	Pittsburgh Internal Med Assoc UPMC	4190 Brownsville Road		Pittsburgh	PA	15227	40.365525	-79.983247
386	Daljit Singh MD Associates	420 North Avenue		Pittsburgh	PA	15209	40.482606	-79.972885
387	Mamatas Ragoor Primary Care Associates	4217 Northern Pike		Monroeville	PA	15146	40.434246	-79.758942
388	Jefferson Internal Medicine PC	422 McMurray Road		Bethel Park	PA	15102	40.312623	-80.066512
389	Mubashar Shouib Chughtai MD UPMC	424 West Grant Avenue		Duquesne	PA	15110	40.372616	-79.850141
390	Comprehensive Care Associates UPMC	4284 William Flynn Highway Route 8	Castle Town Square South	Allison Park	PA	15101	40.559483	-79.959213
391	Castiglione, Angelo MD	4318 Northern Pike	Suite 200	Monroeville	PA	15146	40.433635	-79.751267
392	Premier Medical  Associates Family  Practice	4341 Northern Pike		Monroeville	PA	15146	40.434821	-79.749405
393	BEREZ, FRANNE MD	4354 Murray Avenue		Pittsburgh	PA	15217	40.42035	-79.928696
394	Knupp, Donna L MD PC	4381 Murray Avenue		Pittsburgh	PA	15217	40.41978	-79.927931
395	Concentra Urgent Care	4390 Campbells Run Road		Pittsburgh	PA	15205	40.426212	-80.119053
396	Univ Ear Nose Throat Specialists	4401 Penn Avenue		Pittsburgh	PA	15224	40.467315	-79.95359
397	Steel City South Pediatrics	4411 Stilley Road	3rd Floor	Pittsburgh	PA	15227	40.376066	-79.969628
398	CCP Bellevue Associates	446 Lincoln Avenue		Pittsburgh	PA	15202	40.49508	-80.054078
399	Teladoc Physicians PA	448 Woodland Road		Sewickley	PA	15143	40.557339	-80.19477
400	Rudman, Richard MD	4487 Broadway		Monroeville	PA	15146	40.393702	-79.766375
401	UPP Department of Surgery	450 Holland Avenue	Suite 111	Braddock	PA	15104	40.405278	-79.869523
402	Squirrel Hill Health Center	4516 Browns Hill Road		Pittsburgh	PA	15217	40.416861	-79.925444
403	Daljit Singh MD Associates	4520 Penn Avenue	2nd Floor	Pittsburgh	PA	15224	40.467202	-79.944453
